ruleName,original,emergency_0,management_1,management_0,storage_0,storage_2,storage_1,transfer_4,transfer_0,transfer_3,transfer_1,transfer_5,transfer_2,contract_4,contract_2,contract_6,contract_5,contract_0,contract_8,contract_7,contract_3,contract_1,lib_2,lib_1,lib_0
integrity_assert_address_has_role,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
integrity_assert_address_has_role_negative,UNCAUGHT,UNCAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
integrity_commit_transfer_deadline,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
integrity_commit_upgrade_deadline,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,CAUGHT
integrity_commit_upgrade_future_wasm,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
integrity_emergency_mode,UNCAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
integrity_future_address,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
integrity_future_wasm_direct,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
integrity_get_future_deadline_key_admin,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
integrity_get_future_deadline_key_emergency_admin,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
